Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S01410,49,Female,Undergraduate,Python Basics,460,2,39,42,71,Medium,61,Visual,1,No
S01411,42,Male,High School,Web Development,340,3,65,13,67,Medium,33,Auditory,4,No
S01412,36,Female,High School,Machine Learning,347,2,75,30,81,High,88,Auditory,4,No
S01413,22,Male,Undergraduate,Web Development,239,1,95,39,44,Medium,97,Visual,5,No
S01414,30,Male,High School,Cybersecurity,99,1,91,38,52,Medium,85,Kinesthetic,2,No
S01415,15,Male,Undergraduate,Cybersecurity,29,2,84,12,81,High,92,Kinesthetic,4,No
S01416,20,Female,High School,Machine Learning,458,4,41,40,91,High,38,Auditory,4,No
S01417,43,Female,Undergraduate,Web Development,273,1,34,8,89,High,67,Reading/Writing,3,No
S01418,20,Female,High School,Cybersecurity,372,3,39,19,46,Low,52,Visual,1,No
S01419,40,Other,Undergraduate,Cybersecurity,44,1,68,7,64,Medium,42,Reading/Writing,1,No
S01420,36,Female,Undergraduate,Python Basics,142,1,92,20,77,High,51,Auditory,2,No
S01421,20,Male,Postgraduate,Cybersecurity,259,2,82,25,98,High,60,Kinesthetic,3,No
S01422,26,Female,Undergraduate,Web Development,310,4,32,20,94,Low,53,Visual,2,No
S01423,33,Other,High School,Data Science,430,4,54,43,96,Medium,37,Reading/Writing,3,Yes
S01424,22,Female,Undergraduate,Python Basics,287,3,80,25,80,High,69,Reading/Writing,3,Yes
S01425,30,Male,High School,Machine Learning,432,4,99,7,91,Medium,73,Visual,5,Yes
S01426,21,Female,High School,Web Development,155,2,98,22,94,High,84,Auditory,5,No
S01427,35,Male,Postgraduate,Machine Learning,310,3,34,16,56,Medium,88,Auditory,5,No
S01428,31,Other,Undergraduate,Machine Learning,192,4,88,5,77,Medium,59,Kinesthetic,4,No
S01429,41,Female,High School,Machine Learning,91,4,63,45,92,Low,94,Auditory,2,No
S01430,27,Female,High School,Python Basics,315,4,51,7,59,Medium,34,Visual,3,No
S01431,23,Female,High School,Web Development,278,2,42,35,45,Low,64,Reading/Writing,4,No
S01432,42,Male,Undergraduate,Data Science,138,3,63,38,76,High,90,Kinesthetic,5,No
S01433,17,Female,Undergraduate,Python Basics,251,2,48,27,83,Medium,48,Auditory,5,No
S01434,47,Male,Postgraduate,Machine Learning,241,3,58,19,55,Medium,97,Reading/Writing,3,No
S01435,30,Female,Postgraduate,Python Basics,97,1,95,0,95,Low,30,Kinesthetic,1,No
S01436,41,Male,High School,Cybersecurity,323,4,32,0,72,Low,36,Reading/Writing,4,No
S01437,23,Male,Undergraduate,Cybersecurity,100,4,72,15,65,Medium,36,Visual,4,Yes
S01438,36,Female,High School,Machine Learning,407,1,99,21,91,Low,89,Auditory,5,No
S01439,36,Male,Postgraduate,Web Development,63,2,76,19,52,High,64,Visual,1,Yes
S01440,17,Female,Undergraduate,Python Basics,37,2,31,2,42,Low,56,Visual,4,No
S01441,42,Male,High School,Machine Learning,339,2,88,35,83,High,81,Visual,4,No
S01442,28,Female,Undergraduate,Cybersecurity,167,4,62,35,63,High,77,Reading/Writing,4,No
S01443,48,Male,Undergraduate,Data Science,478,3,79,16,66,Medium,49,Reading/Writing,1,No
S01444,49,Male,Undergraduate,Web Development,421,4,79,18,92,High,81,Kinesthetic,4,Yes
S01445,19,Male,Postgraduate,Machine Learning,321,2,97,27,97,Medium,65,Kinesthetic,4,Yes
S01446,41,Male,Undergraduate,Cybersecurity,208,1,31,4,93,Medium,85,Kinesthetic,3,No
S01447,28,Female,Postgraduate,Python Basics,464,3,89,37,93,Medium,51,Auditory,4,Yes
S01448,40,Female,High School,Python Basics,400,1,41,43,73,Medium,41,Kinesthetic,2,No
S01449,28,Female,Undergraduate,Python Basics,431,3,88,10,61,Medium,42,Auditory,3,No
S01450,49,Male,Postgraduate,Web Development,260,4,55,7,69,Low,68,Auditory,2,No
S01451,36,Male,Undergraduate,Data Science,360,4,63,34,46,High,31,Reading/Writing,3,Yes
S01452,47,Female,Undergraduate,Data Science,271,1,60,39,61,High,47,Kinesthetic,2,No
S01453,49,Male,High School,Data Science,391,1,55,18,64,High,65,Visual,2,No
S01454,25,Male,High School,Web Development,481,4,82,2,56,Medium,90,Auditory,5,No
S01455,34,Female,Undergraduate,Machine Learning,373,3,40,20,56,Medium,36,Reading/Writing,4,No
S01456,39,Female,Undergraduate,Data Science,293,1,82,16,67,Medium,92,Reading/Writing,5,No
S01457,33,Male,High School,Machine Learning,437,2,46,33,45,Low,32,Kinesthetic,2,No
S01458,36,Male,Undergraduate,Web Development,94,2,38,8,91,High,80,Visual,2,No
S01459,40,Male,High School,Data Science,476,1,30,43,86,Low,75,Visual,5,No
S01460,48,Male,Undergraduate,Cybersecurity,429,3,56,8,79,High,57,Auditory,5,No
S01461,25,Male,Postgraduate,Web Development,316,4,87,21,43,High,68,Reading/Writing,2,No
S01462,28,Female,Undergraduate,Machine Learning,79,1,78,0,78,Medium,60,Kinesthetic,5,No
S01463,25,Female,Undergraduate,Machine Learning,125,3,61,32,42,Medium,56,Auditory,4,No
S01464,49,Male,Undergraduate,Cybersecurity,392,4,67,42,96,Medium,57,Reading/Writing,4,No
S01465,39,Female,Undergraduate,Web Development,365,4,48,32,50,Medium,72,Auditory,4,No
S01466,22,Male,High School,Python Basics,245,3,85,28,51,High,42,Reading/Writing,1,No
S01467,26,Female,Undergraduate,Python Basics,281,3,58,37,97,Low,37,Reading/Writing,1,No
S01468,20,Female,High School,Cybersecurity,259,1,94,22,63,Medium,72,Reading/Writing,4,No
S01469,49,Male,High School,Data Science,115,4,41,21,47,High,76,Auditory,5,No
S01470,44,Female,High School,Python Basics,318,4,49,18,91,Medium,63,Kinesthetic,3,No
S01471,16,Male,Undergraduate,Machine Learning,458,4,75,30,94,Medium,65,Auditory,3,No
S01472,26,Male,Undergraduate,Web Development,286,1,63,33,73,Medium,46,Visual,1,No
S01473,16,Male,Postgraduate,Web Development,247,4,61,23,85,Medium,83,Visual,2,Yes
S01474,19,Male,High School,Cybersecurity,342,1,63,37,93,High,54,Reading/Writing,3,No
S01475,32,Male,High School,Python Basics,71,3,68,10,52,Medium,72,Kinesthetic,4,No
S01476,20,Female,Undergraduate,Machine Learning,266,4,67,28,82,Medium,66,Auditory,1,No
S01477,28,Female,Postgraduate,Machine Learning,205,2,89,3,58,Low,37,Kinesthetic,4,No
S01478,18,Male,Postgraduate,Web Development,58,4,43,15,69,Medium,69,Visual,4,No
S01479,47,Female,High School,Data Science,273,4,79,32,90,Medium,97,Auditory,3,Yes
S01480,16,Female,Postgraduate,Cybersecurity,389,1,34,21,83,Medium,77,Visual,5,No
S01481,35,Male,High School,Web Development,499,1,84,26,48,Low,52,Reading/Writing,1,No
S01482,36,Female,Undergraduate,Python Basics,409,2,59,42,44,Low,98,Kinesthetic,2,No
S01483,26,Female,Undergraduate,Python Basics,406,2,72,16,55,Medium,93,Auditory,2,No
S01484,42,Male,Undergraduate,Web Development,194,1,66,45,49,Medium,45,Kinesthetic,3,No
S01485,30,Male,Undergraduate,Data Science,377,2,60,4,68,High,91,Reading/Writing,1,No
S01486,49,Female,Undergraduate,Data Science,267,3,60,39,92,High,38,Reading/Writing,1,No
S01487,27,Female,Undergraduate,Web Development,430,4,42,3,93,Medium,54,Reading/Writing,2,No
S01488,44,Other,Postgraduate,Data Science,264,2,69,20,93,Medium,53,Reading/Writing,2,No
S01489,42,Male,Undergraduate,Data Science,499,2,94,44,61,Medium,62,Reading/Writing,5,No
S01490,44,Male,Postgraduate,Machine Learning,18,1,55,17,78,Medium,93,Visual,1,Yes
S01491,44,Female,Undergraduate,Python Basics,177,1,66,15,44,Low,46,Kinesthetic,4,No
S01492,25,Other,Undergraduate,Cybersecurity,395,2,35,21,62,High,54,Reading/Writing,4,No
S01493,49,Female,Undergraduate,Web Development,457,3,44,36,44,Medium,74,Auditory,5,No
S01494,44,Female,Undergraduate,Machine Learning,453,2,56,42,58,Medium,77,Reading/Writing,4,No
S01495,37,Male,Undergraduate,Data Science,427,1,63,4,62,Medium,98,Auditory,1,Yes
S01496,38,Female,High School,Data Science,469,2,67,19,86,Medium,46,Auditory,4,No
S01497,35,Male,Undergraduate,Cybersecurity,227,2,85,6,65,High,46,Visual,5,No
S01498,18,Male,Undergraduate,Web Development,326,2,70,6,74,Medium,57,Visual,4,No
S01499,36,Male,Undergraduate,Python Basics,101,3,69,1,73,Low,32,Reading/Writing,5,No
S01500,47,Female,Undergraduate,Data Science,371,1,43,2,78,High,64,Visual,2,No
S01501,36,Male,High School,Cybersecurity,141,2,47,29,80,Medium,38,Reading/Writing,5,No
S01502,15,Female,High School,Cybersecurity,220,1,74,17,94,Medium,94,Reading/Writing,3,Yes
S01503,33,Female,Postgraduate,Machine Learning,92,1,44,21,86,Medium,92,Kinesthetic,4,No
S01504,37,Female,Postgraduate,Web Development,253,1,79,8,91,High,68,Reading/Writing,5,No
S01505,38,Female,Undergraduate,Python Basics,265,4,96,13,54,High,64,Kinesthetic,2,No
S01506,38,Male,Undergraduate,Web Development,98,3,50,33,72,Medium,44,Visual,5,No
S01507,36,Female,High School,Python Basics,446,2,37,25,48,Medium,99,Kinesthetic,4,No
S01508,49,Male,High School,Cybersecurity,202,2,47,15,54,Medium,55,Visual,5,No
S01509,39,Female,Postgraduate,Web Development,372,2,52,26,98,High,75,Auditory,4,No
S01510,32,Female,High School,Python Basics,491,4,68,28,97,Low,53,Reading/Writing,1,No
S01511,37,Female,Postgraduate,Machine Learning,494,4,97,13,42,Medium,96,Visual,4,No
S01512,15,Male,Postgraduate,Cybersecurity,410,2,35,41,62,Medium,72,Visual,5,No
S01513,41,Female,Undergraduate,Data Science,171,3,41,24,57,Medium,36,Visual,5,No
S01514,34,Male,High School,Data Science,466,4,35,25,84,High,80,Auditory,2,No
S01515,41,Female,Undergraduate,Python Basics,155,4,39,9,54,Medium,86,Visual,3,Yes
S01516,21,Male,Undergraduate,Cybersecurity,427,2,94,1,55,Medium,93,Kinesthetic,3,No
S01517,18,Female,Postgraduate,Python Basics,119,4,38,27,55,High,73,Auditory,3,No
S01518,42,Male,Undergraduate,Cybersecurity,184,4,66,43,83,Medium,63,Visual,4,No
S01519,46,Male,Undergraduate,Cybersecurity,166,1,63,10,93,Low,46,Visual,1,No
S01520,44,Female,Undergraduate,Machine Learning,411,3,57,46,71,High,88,Visual,2,No
S01521,31,Female,Postgraduate,Web Development,430,3,66,47,98,Medium,31,Auditory,5,No
S01522,25,Female,Undergraduate,Python Basics,364,3,83,31,52,Low,57,Visual,4,No
S01523,32,Other,Undergraduate,Cybersecurity,440,2,77,16,91,Low,41,Visual,4,No
S01524,27,Female,Postgraduate,Machine Learning,486,3,82,2,79,High,30,Reading/Writing,3,Yes
S01525,33,Other,High School,Machine Learning,495,3,37,14,42,Medium,48,Visual,3,Yes
S01526,44,Male,Postgraduate,Data Science,181,1,83,7,85,Medium,51,Reading/Writing,3,No
S01527,39,Male,High School,Cybersecurity,368,1,91,18,67,High,76,Auditory,1,No
S01528,33,Male,High School,Web Development,385,1,91,49,75,Medium,40,Reading/Writing,5,No
S01529,18,Male,High School,Data Science,143,4,94,42,82,Medium,71,Kinesthetic,3,Yes
S01530,27,Female,High School,Cybersecurity,434,3,92,31,65,High,79,Visual,2,No
S01531,29,Female,High School,Web Development,315,1,68,42,83,Low,74,Auditory,5,No
S01532,40,Female,High School,Python Basics,349,4,78,23,58,High,61,Visual,5,No
S01533,40,Male,High School,Cybersecurity,163,1,90,22,95,Medium,90,Kinesthetic,4,No
S01534,25,Female,Postgraduate,Web Development,40,3,82,2,54,Medium,43,Auditory,1,No
S01535,31,Male,Undergraduate,Machine Learning,415,3,58,3,87,Medium,46,Auditory,3,No
S01536,49,Male,High School,Data Science,415,3,42,14,43,Low,62,Kinesthetic,5,No
S01537,33,Female,Undergraduate,Python Basics,51,3,97,4,86,Medium,99,Reading/Writing,1,No
S01538,26,Male,High School,Web Development,247,1,32,12,47,High,65,Visual,1,No
S01539,46,Male,High School,Data Science,293,1,80,38,43,Low,54,Reading/Writing,4,Yes
S01540,43,Female,Undergraduate,Web Development,311,3,87,19,90,High,47,Auditory,2,No
S01541,34,Female,High School,Web Development,496,3,75,0,81,High,75,Visual,1,No
S01542,20,Male,Undergraduate,Web Development,427,2,93,11,62,Medium,80,Auditory,5,No
S01543,30,Female,Undergraduate,Web Development,329,3,47,9,56,High,49,Kinesthetic,2,No
S01544,19,Male,Undergraduate,Cybersecurity,395,4,62,11,42,High,36,Auditory,5,No
S01545,45,Male,High School,Web Development,204,2,86,31,54,High,72,Visual,2,No
S01546,18,Female,High School,Data Science,384,2,81,38,48,Medium,32,Reading/Writing,5,Yes
S01547,49,Female,Undergraduate,Cybersecurity,437,4,97,27,92,Medium,47,Auditory,1,No
S01548,39,Other,Undergraduate,Python Basics,50,3,52,10,42,Medium,84,Auditory,5,Yes
S01549,29,Female,Undergraduate,Cybersecurity,397,3,55,22,51,High,56,Visual,3,No
S01550,18,Male,Undergraduate,Cybersecurity,437,1,33,39,65,High,74,Auditory,1,No
S01551,45,Male,Postgraduate,Machine Learning,300,2,61,49,57,Medium,93,Auditory,4,Yes
S01552,43,Female,High School,Data Science,141,1,69,29,63,High,45,Visual,5,No
S01553,29,Male,Undergraduate,Python Basics,379,4,91,28,92,Medium,80,Visual,5,No
S01554,43,Other,Undergraduate,Machine Learning,246,4,84,6,94,Medium,74,Reading/Writing,4,No
S01555,24,Female,High School,Data Science,200,4,83,24,59,Medium,31,Kinesthetic,3,No
S01556,23,Female,Postgraduate,Data Science,12,3,73,15,97,Low,85,Kinesthetic,5,No
S01557,43,Male,Undergraduate,Python Basics,268,3,60,7,40,Medium,92,Reading/Writing,3,No
S01558,32,Male,Undergraduate,Data Science,426,4,41,35,71,High,37,Kinesthetic,4,No
S01559,45,Female,High School,Data Science,351,1,87,38,47,Medium,33,Auditory,5,No
S01560,15,Other,Undergraduate,Web Development,211,4,65,6,99,Medium,87,Reading/Writing,4,Yes
S01561,22,Male,Undergraduate,Web Development,110,2,56,14,49,Medium,40,Kinesthetic,2,No
S01562,17,Female,High School,Cybersecurity,304,3,99,2,59,Low,83,Auditory,1,No
S01563,27,Female,Undergraduate,Machine Learning,400,1,74,46,79,High,47,Kinesthetic,3,Yes
S01564,27,Male,Undergraduate,Machine Learning,303,4,83,21,57,High,38,Kinesthetic,4,No
S01565,21,Male,Postgraduate,Web Development,179,1,98,12,98,Medium,99,Reading/Writing,4,No
S01566,17,Female,Undergraduate,Cybersecurity,202,1,54,25,93,Medium,63,Auditory,1,No
S01567,43,Male,High School,Data Science,29,4,89,27,42,High,79,Visual,1,No
S01568,15,Female,Undergraduate,Web Development,98,3,75,22,44,Medium,80,Auditory,1,No
S01569,41,Male,Postgraduate,Data Science,95,3,56,10,58,High,76,Visual,5,No
S01570,28,Male,High School,Machine Learning,255,1,45,47,65,Medium,37,Auditory,1,No
S01571,48,Female,High School,Web Development,323,2,40,3,57,Medium,35,Reading/Writing,5,No
S01572,18,Female,High School,Data Science,81,1,31,40,48,High,95,Kinesthetic,5,No
S01573,39,Female,High School,Web Development,236,4,98,16,86,Medium,47,Reading/Writing,5,Yes
S01574,45,Male,Postgraduate,Cybersecurity,423,1,89,26,85,Medium,49,Kinesthetic,5,No
S01575,32,Female,Postgraduate,Python Basics,47,4,58,19,86,Medium,97,Reading/Writing,1,No
S01576,37,Female,Postgraduate,Data Science,232,1,60,12,51,Medium,36,Reading/Writing,2,No
S01577,27,Male,High School,Data Science,481,1,63,35,69,Low,86,Visual,5,No
S01578,42,Female,Undergraduate,Python Basics,228,1,86,40,91,Medium,89,Kinesthetic,5,No
S01579,28,Female,High School,Web Development,342,4,76,41,98,Medium,75,Auditory,5,No
S01580,37,Female,High School,Data Science,140,3,65,5,84,Medium,37,Visual,3,Yes
S01581,31,Other,Undergraduate,Python Basics,41,2,46,39,94,Medium,99,Reading/Writing,2,No
S01582,38,Female,Undergraduate,Cybersecurity,30,2,68,49,55,Medium,82,Reading/Writing,2,No
S01583,35,Female,Undergraduate,Data Science,360,3,91,16,60,High,76,Kinesthetic,4,No
S01584,24,Male,Undergraduate,Machine Learning,21,3,50,17,94,Low,97,Reading/Writing,1,No
S01585,43,Female,Undergraduate,Web Development,402,2,69,7,91,High,84,Reading/Writing,1,No
S01586,21,Male,Undergraduate,Data Science,138,1,96,16,86,Medium,81,Visual,1,Yes
S01587,20,Female,Undergraduate,Machine Learning,134,2,62,44,99,High,45,Visual,3,Yes
S01588,28,Male,Undergraduate,Data Science,245,3,40,22,55,Medium,47,Visual,4,No
S01589,23,Male,Undergraduate,Web Development,63,3,54,44,92,Medium,85,Auditory,4,No
S01590,25,Female,Undergraduate,Python Basics,83,3,88,20,66,Medium,90,Visual,2,No
S01591,46,Female,High School,Cybersecurity,290,2,57,28,98,Low,33,Kinesthetic,4,No
S01592,44,Male,High School,Web Development,399,4,30,3,52,Low,38,Visual,1,Yes
S01593,45,Male,Postgraduate,Machine Learning,111,1,73,12,85,Medium,88,Kinesthetic,1,No
S01594,48,Female,Undergraduate,Cybersecurity,408,4,78,13,74,Low,42,Auditory,3,No
S01595,39,Female,Postgraduate,Machine Learning,326,1,40,32,94,Medium,71,Kinesthetic,2,No
S01596,42,Female,High School,Python Basics,371,2,70,18,84,Medium,99,Auditory,2,No
S01597,40,Male,Undergraduate,Cybersecurity,173,2,42,27,71,Medium,92,Auditory,4,No
S01598,40,Male,Undergraduate,Machine Learning,409,1,35,31,87,High,47,Auditory,4,No
S01599,21,Female,Undergraduate,Web Development,217,2,45,21,49,Medium,84,Reading/Writing,3,No
S01600,29,Male,Undergraduate,Web Development,356,4,76,4,52,Medium,30,Visual,3,No
S01601,39,Male,Undergraduate,Cybersecurity,55,4,34,30,43,High,47,Auditory,1,No
S01602,22,Male,Postgraduate,Data Science,295,1,40,27,89,High,67,Auditory,1,No
S01603,17,Male,Undergraduate,Machine Learning,378,3,79,24,78,Medium,37,Auditory,2,No
S01604,43,Female,Undergraduate,Cybersecurity,99,1,42,33,95,High,91,Visual,1,No
S01605,32,Female,Postgraduate,Machine Learning,435,3,38,3,51,Medium,32,Reading/Writing,2,No
S01606,48,Male,Undergraduate,Python Basics,216,4,35,37,77,Medium,84,Visual,5,Yes
S01607,48,Female,Undergraduate,Python Basics,163,2,65,38,98,High,76,Auditory,5,No
S01608,21,Female,Undergraduate,Cybersecurity,37,4,74,36,97,Medium,59,Visual,5,No
S01609,28,Female,Undergraduate,Cybersecurity,487,4,58,44,48,High,47,Visual,4,Yes
S01610,32,Male,Undergraduate,Python Basics,278,1,49,39,75,Medium,64,Auditory,3,No
S01611,17,Male,Postgraduate,Cybersecurity,449,3,68,45,59,Medium,69,Reading/Writing,5,No
S01612,24,Female,Undergraduate,Python Basics,243,1,73,33,91,Medium,90,Visual,2,No
S01613,47,Female,Undergraduate,Web Development,306,1,38,35,92,High,89,Reading/Writing,5,No
S01614,40,Female,Undergraduate,Cybersecurity,432,2,81,22,83,Medium,84,Visual,3,No
S01615,37,Female,Undergraduate,Data Science,298,2,70,15,62,Medium,57,Auditory,2,No
S01616,41,Male,Undergraduate,Python Basics,407,3,55,1,47,Low,97,Visual,3,Yes
S01617,42,Male,High School,Data Science,38,3,96,20,53,Medium,31,Kinesthetic,3,Yes
S01618,29,Male,Undergraduate,Machine Learning,463,3,51,13,47,High,31,Reading/Writing,1,No
S01619,25,Female,High School,Cybersecurity,341,1,36,32,99,High,34,Reading/Writing,4,No
S01620,28,Male,High School,Python Basics,359,1,41,7,50,High,79,Visual,3,No
S01621,15,Male,High School,Data Science,313,3,91,33,76,Low,96,Visual,4,No
S01622,48,Female,Postgraduate,Python Basics,163,3,64,37,81,High,94,Kinesthetic,1,No
S01623,23,Male,Postgraduate,Python Basics,377,4,98,29,79,Medium,88,Reading/Writing,1,No
S01624,46,Male,Undergraduate,Machine Learning,149,4,72,34,43,Medium,70,Reading/Writing,5,No
S01625,33,Female,Postgraduate,Python Basics,367,1,56,3,45,Medium,71,Kinesthetic,4,Yes
S01626,24,Other,Undergraduate,Data Science,420,2,89,1,88,High,89,Kinesthetic,4,Yes
S01627,42,Male,Undergraduate,Web Development,42,4,64,11,96,High,71,Auditory,4,No
S01628,22,Female,Postgraduate,Cybersecurity,38,1,65,2,67,High,96,Visual,5,Yes
S01629,22,Male,Postgraduate,Machine Learning,304,4,44,11,61,Low,93,Reading/Writing,1,No
S01630,42,Female,Postgraduate,Machine Learning,494,2,97,49,45,Medium,44,Kinesthetic,3,No
S01631,40,Male,High School,Machine Learning,276,2,69,2,98,Medium,51,Kinesthetic,4,No
S01632,46,Female,Undergraduate,Python Basics,166,2,30,47,44,Medium,87,Kinesthetic,1,No
S01633,32,Female,Undergraduate,Cybersecurity,314,3,36,37,44,Medium,75,Auditory,5,Yes
S01634,43,Female,High School,Web Development,17,3,31,11,87,Medium,68,Visual,4,No
S01635,48,Female,High School,Python Basics,268,1,34,40,71,High,77,Auditory,5,Yes
S01636,41,Female,Undergraduate,Python Basics,273,3,73,42,78,Low,68,Reading/Writing,1,No
S01637,19,Female,Undergraduate,Data Science,199,1,38,13,42,Medium,42,Auditory,5,No
S01638,40,Female,Undergraduate,Cybersecurity,401,2,80,40,76,Medium,47,Auditory,1,No
S01639,17,Male,Undergraduate,Python Basics,190,1,87,3,43,High,85,Kinesthetic,2,No
S01640,29,Male,Undergraduate,Machine Learning,94,2,31,6,81,High,31,Reading/Writing,4,Yes
S01641,17,Female,High School,Python Basics,156,2,51,42,97,Medium,62,Reading/Writing,2,No
S01642,49,Female,Undergraduate,Cybersecurity,245,4,70,9,70,Medium,48,Reading/Writing,3,No
S01643,28,Female,Undergraduate,Machine Learning,134,4,85,10,71,Medium,81,Visual,1,No
S01644,48,Female,Undergraduate,Machine Learning,343,2,45,20,47,Medium,73,Kinesthetic,1,No
S01645,27,Female,Undergraduate,Python Basics,204,3,69,5,77,High,55,Kinesthetic,1,No
S01646,33,Male,Undergraduate,Python Basics,467,3,39,39,71,Medium,36,Reading/Writing,5,Yes
S01647,22,Female,Undergraduate,Machine Learning,464,1,47,19,88,Medium,97,Reading/Writing,5,No
S01648,26,Male,Postgraduate,Data Science,109,2,90,30,78,Medium,61,Visual,2,No
S01649,46,Female,Postgraduate,Machine Learning,86,1,59,15,90,Low,84,Kinesthetic,2,No
S01650,35,Female,Undergraduate,Cybersecurity,101,1,88,31,67,High,68,Kinesthetic,2,No
S01651,23,Other,Undergraduate,Machine Learning,27,4,36,31,65,Low,95,Auditory,4,No
S01652,21,Male,Undergraduate,Data Science,419,2,78,35,96,Low,52,Visual,1,No
S01653,24,Female,High School,Python Basics,332,1,53,13,40,High,59,Kinesthetic,3,No
S01654,22,Male,High School,Machine Learning,132,3,77,27,93,Medium,82,Kinesthetic,5,No
S01655,30,Female,Undergraduate,Cybersecurity,438,2,89,20,66,Medium,35,Visual,5,No
S01656,42,Male,Undergraduate,Cybersecurity,59,1,38,22,66,Medium,30,Reading/Writing,2,No
S01657,38,Female,High School,Machine Learning,409,4,87,37,64,Medium,84,Kinesthetic,2,Yes
S01658,44,Female,Postgraduate,Python Basics,354,4,52,47,91,High,35,Kinesthetic,3,No
S01659,42,Male,Undergraduate,Data Science,228,1,39,46,45,Medium,98,Kinesthetic,3,No
S01660,19,Female,High School,Python Basics,84,3,42,8,66,Medium,55,Reading/Writing,4,No
S01661,21,Female,Undergraduate,Web Development,138,3,50,10,62,Low,67,Reading/Writing,2,No
S01662,37,Female,Undergraduate,Data Science,342,3,53,26,60,Medium,81,Kinesthetic,3,No
S01663,19,Female,High School,Python Basics,466,1,96,38,45,Low,36,Kinesthetic,5,No
S01664,37,Male,Postgraduate,Data Science,484,1,82,39,61,Medium,77,Reading/Writing,3,No
S01665,18,Female,Undergraduate,Data Science,428,1,66,4,72,Low,75,Kinesthetic,3,No
S01666,19,Female,Undergraduate,Machine Learning,348,3,33,9,66,Medium,82,Visual,1,No
S01667,37,Male,Undergraduate,Cybersecurity,81,1,81,7,88,Medium,64,Kinesthetic,2,No
S01668,32,Male,High School,Web Development,193,2,94,3,66,High,52,Kinesthetic,1,No
S01669,29,Male,Undergraduate,Python Basics,137,3,96,28,95,Low,30,Kinesthetic,1,No
S01670,40,Female,Undergraduate,Cybersecurity,311,1,93,45,60,High,33,Kinesthetic,2,No
S01671,30,Female,Undergraduate,Web Development,267,1,84,48,63,Low,49,Visual,4,No
S01672,18,Female,Undergraduate,Cybersecurity,121,3,30,34,50,Low,73,Reading/Writing,2,No
S01673,21,Female,Postgraduate,Web Development,463,4,70,9,46,Low,48,Auditory,5,Yes
S01674,29,Male,Undergraduate,Python Basics,197,3,84,1,60,Low,96,Visual,2,Yes
S01675,29,Female,Undergraduate,Data Science,418,1,91,45,60,Medium,51,Visual,2,No
S01676,35,Female,High School,Web Development,236,4,41,18,71,Low,92,Kinesthetic,1,No
S01677,41,Female,Postgraduate,Data Science,331,4,97,49,49,Medium,69,Visual,5,No
S01678,41,Female,Undergraduate,Data Science,29,1,83,43,50,Medium,96,Kinesthetic,2,No
S01679,43,Female,High School,Python Basics,167,4,61,27,45,High,44,Reading/Writing,5,No
S01680,42,Female,High School,Web Development,382,1,86,33,97,Medium,38,Reading/Writing,3,No
S01681,34,Male,Undergraduate,Cybersecurity,309,2,91,10,75,Medium,61,Kinesthetic,2,No
S01682,29,Female,Undergraduate,Web Development,38,3,79,14,91,Medium,50,Reading/Writing,5,No
S01683,24,Male,Postgraduate,Web Development,306,1,93,6,72,Medium,54,Kinesthetic,3,Yes
S01684,43,Female,High School,Machine Learning,42,3,33,39,76,High,48,Auditory,3,No
S01685,39,Female,Undergraduate,Web Development,448,4,96,48,49,High,70,Visual,5,No
S01686,33,Female,High School,Data Science,357,4,59,47,51,High,89,Auditory,2,No
S01687,37,Female,High School,Python Basics,497,3,48,29,81,Low,75,Visual,3,No
S01688,30,Female,Postgraduate,Python Basics,345,4,90,10,82,Medium,81,Kinesthetic,5,No
S01689,24,Male,Undergraduate,Cybersecurity,297,2,54,14,98,High,85,Visual,2,Yes
S01690,18,Male,Undergraduate,Data Science,230,3,60,36,94,Medium,37,Auditory,5,No
S01691,19,Other,Undergraduate,Data Science,178,2,84,33,82,Medium,96,Visual,2,No
S01692,41,Female,Postgraduate,Web Development,326,2,88,27,66,High,77,Visual,3,No
S01693,32,Female,High School,Web Development,348,2,66,20,40,Medium,71,Kinesthetic,1,No
S01694,18,Female,Postgraduate,Python Basics,26,2,46,14,95,Medium,87,Reading/Writing,5,No
S01695,48,Male,Undergraduate,Cybersecurity,240,3,55,3,65,High,75,Reading/Writing,2,No
S01696,48,Male,Undergraduate,Data Science,470,1,96,45,92,Medium,77,Kinesthetic,3,Yes
S01697,29,Female,High School,Machine Learning,153,2,38,39,47,Medium,83,Visual,5,No
S01698,22,Female,Undergraduate,Web Development,297,4,96,40,61,High,94,Auditory,4,No
S01699,22,Male,Undergraduate,Python Basics,487,2,36,39,68,Medium,68,Visual,4,No
S01700,22,Male,Undergraduate,Cybersecurity,265,3,52,49,42,Medium,47,Reading/Writing,3,No
S01701,38,Female,High School,Python Basics,34,3,94,22,80,Medium,49,Visual,2,No
S01702,31,Female,High School,Python Basics,296,1,57,0,56,Medium,83,Auditory,5,Yes
S01703,38,Female,High School,Data Science,388,1,93,20,60,High,87,Visual,2,No
S01704,28,Male,High School,Data Science,267,3,95,19,99,Medium,51,Reading/Writing,5,No
S01705,39,Male,High School,Machine Learning,384,2,96,18,63,Low,43,Reading/Writing,2,No
